"Id";"Designator";"Footprint";"Quantity";"Designation";"MPN";"Mfr";"Fit"
"50";"SW2, SW3";"R-667995_MIT";"2";"R-667995";"R-667995";"Mitsumi Electric";"Fit"
"51";"U1";"QFN40P180X180X55-12N";"1";"FSUSB63UMX";"FSUSB63UMX";"onsemi";"Fit"
"52";"U2";"U_LGA-14L_2p5X3p0X0p83_STM";"1";"ISM6HG256XTR";"ISM6HG256XTR";"STMicro";"Fit"
"53";"U3";"QMC5883P_LGA-16_3x3";"1";"QMC5883P";"QMC5883P";"QST";"Fit"
"54";"U4";"BMP581_LGA-10_2x2";"1";"BMP581";"BMP581";"Bosch";"Fit"
"55";"U5";"LC86GLAMD";"1";"LC86GLAMD";"LC86GLAMD";"Quectel";"Fit"
"56";"U6, U7, U8, U10";"TSON Advance_TOS";"4";"WSD20L50DN33";"WSD20L50DN33";"Winsok";"Fit"
"57";"U9";"TSON Advance_TOS";"1";"AON7534";"AON7534";"Alpha & Omega";"Fit"
"58";"U11";"8L_WSON_8x6x3p4x4p3_MAC";"1";"GD5F1GQ5UEYIGR";"GD5F1GQ5UEYIGR";"GigaDevice";"Fit"
"59";"U13, U33";"24-WLCSP_Y_WIN";"2";"W25Q128JVYIQ";"W25Q128JVYIQ";"Winbond";"Fit"
"60";"U14";"ANT_AANI-CH-0070_ABR";"1";"AANI-CH-0070";"AANI-CH-0070";"Abracon";"Fit"
"61";"U15, U32";"IC_ESP32-S3";"2";"ESP32-S3RH2";"ESP32-S3RH2";"Espressif";"Fit"
"62";"U16";"E220-900MM22S";"1";"E220-900MM22S";"E220-900MM22S";"Ebyte";"Fit"
"63";"U18";"QFN50P300X300X100-17N";"1";"TPS62152RGTR";"TPS62152RGTR";"TI";"Fit"
"64";"U19";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias";"1";"TPS259631DDAR";"TPS259631DDAR";"TI";"Fit"
"65";"U21";"IC_TPS2121RUXR";"1";"TPS2121RUXR";"TPS2121RUXR";"TI";"Fit"
"66";"U23";"RGT16_1P7X1P7";"1";"INA230AIRGTR";"INA230AIRGTR";"TI";"Fit"
"67";"U30";"SON65P200X200X80-7N";"1";"TPS22810DRVR";"TPS22810DRVR";"Texas Instruments";"Fit"
"68";"U47";"WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65";"1";"TPS61094DSS";"TPS61094DSSR";"Texas Instruments";"Fit"
"69";"Y1, Y3";"XTAL_SC-32S_3215";"2";"ABS07-32.768KHZ-T";"ABS07-32.768KHZ-T";"Abracon";"Fit"
"70";"Y2, Y4";"XTAL_ECS-400-10-37B2-CKY-TR";"2";"ECS-400-10-37B2-CKY-TR";"ECS-400-10-37B2-CKY-TR";"ECS";"Fit"
